gender,age_range,marital_status,disability,district,father_education,mother_education,household_members,economic_dependency,health_insurance,chronic_disease,academic_program,current_term,enrolled_courses,gpa,failed_course,class_attendance,career_satisfaction,personal_motivation,teacher_motivation,thought_about_dropout,dropout_reason,dropout_thought,transport,commute_time,internet_access,study_space,library_use,academic_tutoring,university_support,housing_type,personal_income,family_income,scholarship,currently_working,work_hours,affects_study,study_hours,university_harassment,demotivation,academic_stress,emotional_support
Masculino,16-20,Soltero(a),No,,Secundaria,Postgrado,6+,Mayormente dependiente,EsSalud,No,Ingeniería de Sistemas,8.0,4-5,<10,No,5.0,3.0,1.0,4.0,No,,No,Público,<30 min,Sí,No,2.0,Sí,,,0,1000-2000,No,No,<10,No,5-10,No,No,Sí,No
Masculino,16-20,Casado(a),No,San Miguel,Técnico,,4-5,No dependo económicamente,Privado,No,Ingeniería de Sistemas,1.0,4-5,13-15,No,4.0,4.0,4.0,5.0,No,At necessitatibus omnis blanditiis exercitationem nihil distinctio vitae animi amet modi.,No,A pie,<30 min,Sí,No,1.0,Sí,4.0,Alojado,0,<1000,No,No,<10,Sí,>10,No,No,No,No
Masculino,16-20,Casado(a),No,San Borja,Secundaria,Primaria,6+,Parcialmente dependiente,SIS,No,Ingeniería de Software,8.0,4-5,10-12,Sí,3.0,4.0,3.0,2.0,No,Eos asperiores sed sequi iste nostrum eaque maxime necessitatibus.,No,Público,30-60 min,Sí,Sí,4.0,No,5.0,Propia,<500,1000-2000,No,No,<10,Sí,5-10,Sí,No,No,No
Femenino,16-20,Casado(a),No,Los Olivos,Secundaria,Secundaria,4-5,Mayormente dependiente,EsSalud,No,Ingeniería de Sistemas,2.0,4-5,10-12,Sí,5.0,3.0,2.0,1.0,No,Nobis molestiae laudantium laboriosam quasi tempore numquam.,No,Público,>1 h,No,,2.0,No,3.0,Propia,<500,1000-2000,No,No,10-20,Sí,>10,No,No,Sí,No
Femenino,21-25,Soltero(a),No,Puente Piedra,Universitario,Primaria,,Totalmente dependiente,SIS,No,Ingeniería de Sistemas,6.0,4-5,16+,Sí,2.0,5.0,3.0,2.0,Sí,Corrupti quaerat natus quae a amet voluptates nesciunt similique aliquam.,Yes,Privado,30-60 min,Sí,No,2.0,No,3.0,Propia,500-1000,1000-2000,No,No,10-20,Sí,<5,No,No,No,No
Masculino,16-20,Divorciado(a),No,Surquillo,Secundaria,Técnico,1-3,Mayormente dependiente,,No,,6.0,3,13-15,Sí,3.0,4.0,2.0,2.0,Sí,Temporibus itaque illo in iusto repellendus.,Yes,Privado,30-60 min,Sí,Sí,1.0,Sí,4.0,Alojado,0,1000-2000,No,Sí,10-20,No,5-10,No,,No,Sí
Masculino,21-25,Soltero(a),No,Lince,Primaria,Postgrado,4-5,Parcialmente dependiente,Ninguno,Sí,Ingeniería de Software,6.0,4-5,10-12,No,3.0,1.0,4.0,4.0,No,Porro quasi provident laboriosam corporis eum fugiat porro cumque amet iure ipsum.,No,Público,<30 min,Sí,Sí,1.0,No,,Residencia,500-1000,1000-2000,No,Sí,10-20,No,5-10,No,Sí,No,No
Masculino,21-25,Soltero(a),No,Miraflores,Secundaria,Primaria,4-5,Mayormente dependiente,EsSalud,No,Ingeniería de Sistemas,3.0,6 o más,10-12,No,4.0,2.0,3.0,3.0,No,Similique minus beatae magnam accusamus enim.,No,Público,<30 min,Sí,Sí,4.0,No,2.0,Propia,500-1000,1000-2000,No,No,<10,No,<5,No,No,Sí,No
Masculino,21-25,Otro,No,San Luis,Postgrado,Primaria,1-3,Parcialmente dependiente,EsSalud,No,Ingeniería de Sistemas,7.0,3,<10,No,2.0,2.0,3.0,1.0,No,Unde sunt accusantium velit eveniet aliquam.,No,Público,30-60 min,Sí,Sí,4.0,No,4.0,Propia,0,2000-4000,Sí,Sí,10-20,Sí,<5,No,Sí,Sí,Sí
Masculino,16-20,Casado(a),No,La Victoria,Secundaria,Técnico,4-5,No dependo económicamente,EsSalud,Sí,Ingeniería de Software,1.0,4-5,10-12,No,3.0,4.0,2.0,3.0,No,Cupiditate dolorum consequuntur dignissimos commodi ducimus voluptate labore rerum quasi quaerat ut natus.,No,Público,30-60 min,Sí,,4.0,Sí,4.0,Alquilada,0,>4000,No,No,<10,No,5-10,No,Sí,No,No
Masculino,16-20,Soltero(a),No,Lince,Secundaria,Técnico,1-3,Totalmente dependiente,Privado,No,Ingeniería de Software,3.0,3,13-15,No,5.0,5.0,1.0,5.0,No,Tempora placeat officia quam omnis dolores distinctio debitis praesentium illo fugit a pariatur.,No,Público,<30 min,Sí,No,,No,4.0,Alojado,,1000-2000,No,No,>20,No,<5,No,,No,No
Masculino,26-30,Soltero(a),No,Jesús María,Técnico,Universitario,1-3,Mayormente dependiente,SIS,No,Ingeniería de Sistemas,10.0,4-5,10-12,No,4.0,3.0,3.0,3.0,No,Repellendus eos sit facilis hic iusto sit temporibus illo autem pariatur.,No,A pie,30-60 min,Sí,Sí,2.0,No,3.0,Alojado,<500,<1000,No,No,10-20,No,>10,No,No,No,Sí
Masculino,21-25,Soltero(a),No,Chorrillos,Primaria,Primaria,4-5,Mayormente dependiente,EsSalud,No,,5.0,4-5,10-12,No,4.0,3.0,4.0,3.0,No,A est maiores non hic optio tempora maxime quidem.,No,Público,30-60 min,Sí,Sí,3.0,No,3.0,Propia,500-1000,1000-2000,No,No,10-20,Sí,5-10,No,,Sí,Sí
Masculino,21-25,Soltero(a),No,San Borja,Primaria,,4-5,Totalmente dependiente,Privado,No,Ingeniería de Software,3.0,6 o más,13-15,Sí,4.0,2.0,4.0,4.0,Sí,Ratione perferendis enim ex quas dolorem nostrum corrupti dignissimos aliquam.,Yes,Público,>1 h,Sí,Sí,4.0,No,1.0,Alquilada,<500,1000-2000,No,No,<10,Sí,<5,No,No,No,No
Masculino,,Soltero(a),No,Villa El Salvador,Técnico,Secundaria,1-3,No dependo económicamente,Privado,No,Ingeniería de Software,10.0,4-5,13-15,No,1.0,4.0,4.0,4.0,No,Eos placeat dolores accusamus ad nihil voluptates similique eos.,No,Privado,30-60 min,Sí,Sí,1.0,No,2.0,Alquilada,0,2000-4000,Sí,Sí,<10,,>10,No,Sí,Sí,Sí
Masculino,26-30,Casado(a),No,Surquillo,Primaria,Secundaria,4-5,Totalmente dependiente,EsSalud,Sí,Ingeniería de Software,8.0,4-5,10-12,No,4.0,4.0,4.0,3.0,No,Dolores odit rerum maxime sunt ut molestias.,No,A pie,30-60 min,No,Sí,2.0,No,1.0,Alquilada,0,2000-4000,No,No,<10,Sí,<5,No,Sí,No,Sí
,16-20,Soltero(a),No,Chorrillos,Universitario,Primaria,4-5,Parcialmente dependiente,EsSalud,No,Ingeniería de Software,4.0,4-5,10-12,No,4.0,2.0,4.0,3.0,No,Mollitia recusandae error iste ipsam debitis quaerat nihil.,No,Público,30-60 min,Sí,Sí,3.0,No,3.0,Alojado,0,>4000,No,No,10-20,Sí,<5,No,No,Sí,No
Femenino,26-30,Soltero(a),No,Santa Anita,Secundaria,Secundaria,6+,Mayormente dependiente,Privado,No,Ingeniería de Software,4.0,3,10-12,Sí,4.0,4.0,3.0,3.0,No,Quod fugiat blanditiis distinctio consequatur voluptates non corporis ut excepturi dolore sed asperiores.,No,Público,30-60 min,No,Sí,2.0,No,3.0,Propia,0,<1000,No,No,10-20,,<5,Sí,No,No,No
Masculino,26-30,Soltero(a),No,Pueblo Libre,Primaria,Primaria,1-3,No dependo económicamente,EsSalud,No,Ingeniería de Software,5.0,3,13-15,No,4.0,,4.0,2.0,No,Molestias fugiat quae error qui eaque sit sit repellat quod.,No,Privado,>1 h,Sí,Sí,4.0,Sí,2.0,Propia,>1000,1000-2000,No,No,>20,Sí,5-10,,No,No,Sí
Masculino,26-30,Divorciado(a),No,Barranco,Primaria,Universitario,1-3,Mayormente dependiente,Ninguno,No,Ingeniería de Software,10.0,6 o más,10-12,No,2.0,4.0,3.0,4.0,No,Similique accusamus nihil ullam officia occaecati dolorum.,No,A pie,<30 min,Sí,Sí,3.0,No,4.0,Propia,0,1000-2000,No,Sí,<10,Sí,<5,Sí,Sí,Sí,Sí
,26-30,Soltero(a),No,Los Olivos,Técnico,,6+,Mayormente dependiente,SIS,No,Ingeniería de Sistemas,6.0,4-5,13-15,Sí,5.0,2.0,3.0,4.0,No,Dicta minus facere laborum provident magni nam veritatis.,No,Público,30-60 min,Sí,Sí,2.0,No,4.0,Propia,0,<1000,No,Sí,>20,No,<5,No,Sí,No,Sí
Femenino,16-20,Soltero(a),No,Rímac,Secundaria,Universitario,6+,Mayormente dependiente,EsSalud,Sí,Ingeniería de Sistemas,8.0,6 o más,10-12,Sí,2.0,2.0,3.0,4.0,No,Occaecati eum laboriosam beatae esse dicta dignissimos eius.,No,Público,30-60 min,Sí,Sí,2.0,Sí,4.0,Alquilada,<500,1000-2000,No,Sí,10-20,Sí,<5,No,Sí,Sí,No
Masculino,26-30,Soltero(a),Sí,Carabayllo,Técnico,Postgrado,1-3,Mayormente dependiente,SIS,,Ingeniería de Software,8.0,6 o más,13-15,Sí,3.0,2.0,3.0,4.0,No,Error velit amet hic quibusdam quaerat cum aut reiciendis corrupti perferendis fugit error.,No,Privado,30-60 min,Sí,Sí,3.0,No,4.0,Alquilada,0,1000-2000,Sí,Sí,10-20,No,5-10,Sí,No,No,Sí
